,headline,published_date,article_text,summarized_text
0,High prices stifle gold demand in top Asian hubs; India widens discount,2025-07-25,"Physical gold demand in key Asian hubs was subdued this week, asrising prices dampened sentiment, prompting dealers in top consumer China and India to offer steep discounts to attract buyers.Indian dealers offered discounts of up to $15 an ounce over official domestic prices this week, which include a 6% import and 3% sales tax, up from a discount of up to $10 last week.“Buyers are struggling to understand the broader trend. Prices were rallying at the beginning of the week but suddenly corrected mid-week,” said a Chennai-based jeweller.Domestic gold prices were trading around 98,500 rupees per 10 grams on Friday after rising to 100,555 rupees earlier this week.Jewellers were reluctant to purchase gold at current prices or even place orders for jewellery production, as retail demand has remained negligible for more than a month, said a Mumbai-based bullion dealer at a private bank.In China, dealers offered gold between a discount of $5 and a premium of $4 per ounce above international rates.“The physical demand is quite low because prices rose above $3,400. Price are too high, we are seeing some liquidation, selling interest. People are hesitant to buy at the moment,” said Peter Fung, head of dealing at Wing Fung Precious Metals.China’s imports of goldextended declines for a second successive month in June, customs data showed on Sunday.In Hong Kong, gold was sold at par to a premium of $1.50, while in Singapore gold traded between at-par prices and a $2.50 premium.“We’ve seen some clients who came to purchase, reason being they’re worried that the prices will continue to shoot further up. But I think more of a selling at this point of time,” said Brian Lan, managing director at Singapore-based GoldSilver Central.In Japan, bullion was sold at a discount of $0.50 to a $0.70 premium over spot prices.(By Brijesh Patel, Polina Devitt and Rajendra Jadhav; Editing by Sherry Jacob-Phillips)","Physical gold demand in key Asian hubs was subdued this week. Rising prices dampened sentiment, prompting dealers in top consumer China and India to offer steep discounts to attract buyers."
1,"India in talks with Chile, Peru to source critical minerals",2025-07-15,"India is holding talks with Chile and Peru to source critical minerals under ongoing free trade pact negotiations, a trade ministry source said on Tuesday.Reliant on imports to meet demand, India already planned to include a chapter on copper in the trade talks with the two South American countries to secure a fixed quantity of copper concentrate, according to a government document earlier this month.India to woo foreign copper miners, expand tiesIndia meets more than 90% of its copper concentrate needs through imports, and its dependency is expected to rise to 97% by 2047, the document said.India is also working with trading partners to reduce dependence on China for critical minerals, the trade ministry source said.China, which produces around 90% of the world’s rare earth magnets, in April put restrictions on their export as part of its response to US tariffs.India, which has the world’s third-largest car market and the fifth-largest reserves of rare earths, isworking on a new programto incentivize local magnet production,Reutersreported last month.(By Manoj Kumar, Nikunj Ohri and Neha Arora; Editing by Kirsten Donovan)",India is holding talks with Chile and Peru to source critical minerals under ongoing free trade pact negotiations. India already planned to include a chapter on copper in the trade talks with the two South American countries.
2,Share of Russian aluminum in LME warehouses falls in June as Indian metal rises,2025-07-10,"The share of available aluminum stocks of Russian origin in warehouses registered with the London Metal Exchange slipped to 66% in June from 69% in May, while the share of Indian origin climbed to 34% from 30%, LME data showed on Thursday.The LME has banned metal produced in Russia after April 13, 2024 from its warehousing system to comply with US and British sanctions imposed over Russia’s 2022 invasion of Ukraine, but metal made before that date can still be traded.Available aluminum stocks of Russian origin or those that are on warrant were little changed at 221,875 metric tons at the end of June. An LME warrant is a title document conferring ownership.Stocks of India-made aluminum rose to 114,150 tons from 97,950 tons, the data showed.For copper, the share of Russia-made metal in LME available stocks slipped to 53% last month from 54%, while the amount fell to 31,225 tons from 39,350.The share of China-made copper was 42%, while the amount dropped to 24,900 tons from 30,825.Nickel made in China represented 63% of available LME stocks at the end of last month, up from 59% in May.(By Polina Devitt; Editing by Jan Harvey)","The share of available aluminum stocks of Russian origin in warehouses registered with the London Metal Exchange slipped to 66% in June from 69% in May. The share of Indian origin climbed to 34% from 30%, LME data showed."
3,India plans to kickstart rare earth output to cut China reliance,2025-07-09,"A proposed plan by India to spur local production of rare earth magnets has drawn initial interest from a clutch of large conglomerates, people familiar with the matter said, as the country seeks to cut its reliance on China for these vital electric-vehicle and wind-turbine materials.The Indian government is planning an incentive program worth as much as 25 billion rupees ($290 million) for private sector firms manufacturing these magnets, said the people, who asked not to be named as the details are not public.Billionaire Anil Agarwal’s mining giant Vedanta Group, Sajjan Jindal-led JSW Group and EV parts maker Sona BLW Precision Forgings Ltd. are among those who have shown keenness in this initiative.The policy blueprint is likely to be submitted for cabinet approval soon, the people said. The final outlay for the program is subject to internal consultations and could change, they said.India is accelerating efforts on this front after China, which controls about 90% of the world’s rare earths processing, tightened export controls on rare earths amid a trade war with the US. This hasdisrupted supply chainsfor global automobile makers, including those operating in India.Infographic: Who controls rare earth processing?‘Don’t weaponize’Indian Prime Minister Narendra Modi highlighted the need for a reliable supply of critical minerals at the BRICS gathering in Rio de Janeiro over the weekend. “It’s important to ensure that no country uses these resources for its own selfish gain or as a weapon against others,” Modi said at the event.The South Asian nation aims to support three to four large companies in the production of about 4,000 tons of neodymium and praseodymium-based magnets using locally-mined raw materials over a period of seven years, according to the people and a policy proposal seen byBloomberg News.There will be a two-year gestation period and incentives will be rolled out over five years following the start of manufacturing, the people said. India, with a rapidly growing electric vehicle sector, is considering an investment of up to 6 billion rupees for every 1,000 tons of capacity under the program, they added.“Our interest in rare earth magnet manufacturing stems from its strategic importance to green technologies,” a Vedanta spokesperson said in an email, adding that these minerals were “fast becoming new levers of global influence.”India, China tackle rare earth curbs in meeting of top officialsThe Ministry of Heavy Industries and JSW did not respond immediately to an email seeking comments.Producing magnets will help secure the supply chain for Sona BLW — one of the largest Indian makers of traction motors for electric vehicles, chief executive officer Vivek Vikram Singh toldBloomberg News. The company may seek a partner with a firm to develop technology for the magnets as well, Singh added.India is mulling incentives for rare earth magnet makers, Heavy Industries Minister H.D. Kumaraswamy said at an event in New Delhi last month, without elaborating.While the government’s effort to boost rare earths is in line with a worldwide push, its budget is modest and its timeframe remains ambitious. Mines and processing facilities can take years to build, and know-how stays heavily concentrated in China.Despite their name, rare earths are not geologically rare. But mining them economically is difficult, and often poses environmental risks due to their low concentrations and association with radioactive elements.Nascent effortsWhile India has long sought to boost production either domestically orthrough overseas projects, those efforts remain nascent. State-owned Khanij Bidesh India Ltd. is leading initial moves with mining concessions in Latin America and is talks with Argentina, Zambia and Australia among others.Currently, producing magnets in India without subsidies is nearly impossible. The necessary oxide is supplied by state-owned Indian Rare Earths Ltd., and a project’s return on investment in this sector is negative without both capital and operating subsidies, the people said.India taking steps to mitigate disruptions due to China’s rare earth curbsAccording to the proposed blueprint, the government will invite companies to bid for annual production capacity between 500 tons and 1,500 tons.To qualify, manufacturers must meet strict norms, including the requirement that half of the value of the final product must come from locally produced neodymium-praseodymium oxide, an ingredient crucial for making high-performance magnets, according to the proposal.The domestic sourcing requirement will rise to 80% by the fifth year of manufacturing, it added.(By Alisha Sachdev)","India is planning an incentive program worth as much as 25 billion rupees ($290 million) for private sector firms manufacturing these magnets. Vedanta Group, Sajjan Jindal-led JSW Group and EV parts maker Sona BLW Precision Forgings Ltd. are among those who"
4,"India to woo foreign copper miners, expand ties",2025-07-04,"India on Friday unveiled a series of steps to increase copper output, including encouraging foreign firms to set up smelters and refineries in the country in exchange for state-owned firms investing in their overseas mining operations.The government policy document, parts of which werefirst reported byReuterslast week, said India – the world’s second-biggest refined copper importer – may have to import 91%-97% of its copper concentrates by 2047.The country’s copper imports rose 4% to 1.2 million metric tons in fiscal 2025. Demand is expected to climb to 3-3.3 million metric tons by 2030 and 8.9-9.8 million metric tons by 2047, the document said.The document, which called for supply diversification and foreign asset acquisitions, also confirmed that India plans to promote investments by foreign companies, including Chile’s state-owned Codelco and Australian miner BHP, as part of its long-term focus by 2047.Reutershad first reported, quoting sources with knowledge of the matter and the document, that India could likely approach the two companies to set up domestic smelters, refineries and other downstream industries.Indian companies should also consider investing overseas to secure a steady supply chain and manage supply disruptions, the document added.India plans to provide financial support such as capital investment subsidies and customs duty exemption on imported plants and machineries for building 4-5 million metric tons of new smelting and refining capacity in the long-run, the document said. It may also consider providing financial support to scrap processing facilities.“Few viable options”Despite an estimated 12.2 million metric tons of copper resources, only 18% are classified as reserves, highlighting limited domestic availability, according to the document.Issues such as “resource nationalism, geopolitical tensions, declining ore grades,” and a persistent lack of investment globally could “leave India with few viable options to source copper, even from major exporters like Australia, Chile, Peru and Zambia.”India sends geologists to Zambia to explore copper and cobalt depositsIndia plans to include a chapter on copper in the ongoing free trade pact talks with Chile and Peru to secure a fixed quantity of copper concentrate, the document said.“Tightening copper supplies from key exporters like Indonesia and Panama have reduced India’s sourcing options,” the document said.Additionally, the Indian government released a document outlining plans to boost aluminum output and said domestic demand is expected at 8.5 million metric tons by fiscal 2030.(By Rishika Sadam and Neha Arora; Editing by Janane Venkatraman and Harikrishnan Nair)",India may have to import 91%-97% of its copper concentrates by 2047. The country’s copper imports rose 4% to 1.2 million metric tons in fiscal 2025. India plans to include a chapter on copper in the ongoing free trade pact talks.
5,India’s NMDC explores critical minerals acquisition overseas,2025-07-01,"Indian state-owned miner NMDC on Tuesday said it is exploring acquisition opportunities for critical minerals in Africa, Australia and South America, as part of its global mineral diversification strategy.On Monday, the country’s largest iron ore miner opened a Dubai office that will track mineral sector developments in Africa and Australia and focus on scouting mineral assets and conducting due diligence, it said in a statement.Critical minerals to top Modi’s agenda in five-nation tourIn April, NMDC chairman Amitava Mukherjee said the miner was looking at Africa for lithium, iron ore, copper and cobalt as well as exploring coking coal assets in Indonesia and Australia.Last year, India’s Secretary of Mines V.L. Kantha Rao said that NMDC and Coal India were exploring lithium mines in Chile and Australia.In 2023, NMDC’s unit Legacy Iron Ore had signed a lithium exploration pact with Australia’s Hancock Prospecting Pty Ltd.(By Neha Arora and Anuran Sadhu; Editing by Mrigank Dhaniwala)","Indian state-owned miner NMDC is exploring acquisition opportunities for critical minerals in Africa, Australia and South America. NMDC chairman Amitava Mukherjee said the miner was looking at Africa for lithium, iron ore, copper and cobalt."
6,India sends geologists to Zambia to explore copper and cobalt deposits,2025-07-01,"India has dispatched a team of geologists to Zambia to explore copper and cobalt deposits, two Indian government sources said, as New Delhi steps up efforts to secure critical mineral supplies essential to its energy transition.The Zambian government this year agreed to allocate 9,000 square km (3,475 square miles) to India for the exploration of cobalt – a key component in batteries for electric vehicles and mobile phones – as well as for scouting copper, which is widely used in power generation, electronics, and construction.The exploration project will last for three years and most of the analysis will be done in laboratories in India, one of the sources said.The team is expected to make multiple visits over the course of the entire project, said the sources, who declined to be identified because the information is not public.After assessing the mining potential, the Indian government will seek a mining lease from the Zambian government and may also invite private-sector companies to participate in the project, the sources said.India’s Ministry of Mines did not respond to a request for comment.Critical minerals to top Modi’s agenda in five-nation tourNew Delhi has been in talks with several African countries to acquire critical mineral blocks on a government-to-government basis, while also exploring opportunities in Australia and Latin America.India is also in discussions with the Democratic Republic of Congo to sign an initial agreement to secure supplies of cobalt and copper,Reutersreported in March.An Indian delegation attended a mining conference in Congo last month and toured local mines, the ministry said in a post onX.Indiahas held internal discussionsover its growing vulnerability to a tightening global copper market and plans to explore ways to secure supply from resource-rich countries during ongoing trade negotiations,Reutersreported last week.India’s copper imports have risen sharply since the 2018 closure of Vedanta’s Sterlite copper smelter. The country imported 1.2 million metric tons of copper in the fiscal year ending March 2025, up 4% from the previous year.India is almost entirely dependent on cobalt imports and shipments of cobalt oxide rose 20% in 2024/25 to 693 metric tons, government data showed.(By Neha Arora; Editing by Mayank Bhardwaj and Jamie Freed)","India has dispatched a team of geologists to Zambia to explore copper and cobalt deposits. New Delhi steps up efforts to secure critical mineral supplies essential to its energy transition. Zambian government this year agreed to allocate 9,000 square km (3,475 square miles) to India"
7,India taking steps to mitigate disruptions due to China’s rare earth curbs,2025-06-27,"India is taking steps to mitigate possible disruptions due to restrictions on rare earth minerals imposed by China, New Delhi said in its May economic report released on Friday.China’s recent export controls on rare earth materials have rattled the global auto industry, triggering warnings of supply chain disruptions and potential production halts, including in India.Despite holding the world’s fifth-largest rare earth reserves, India’s domestic output remains underdeveloped.In the fiscal year ending March 2025, the country imported 53,748 metric tons of rare earth magnets, which are critical for manufacturing automobiles, wind turbines, medical devices, and other high-tech goods.“On the domestic front, India has also been taking a series of steps to mitigate possible disruptions,” a report prepared by the federal finance ministry said, citing the launch of a seven-year national initiative aimed at strengthening domestic rare earth supplies.India is planning to offer incentives to companies to set up rare earth processing and magnet production facilities to meet local demand, people familiar with the matter toldReutersearlier this month.(By Nikunj Ohri, Manoj Kumar and Tanvi Mehta; Editing by Toby Chopra and Leroy Leo)","India is taking steps to mitigate possible disruptions due to restrictions on rare earth minerals imposed by China. China’s recent export controls have rattled the global auto industry, triggering warnings of supply chain disruptions."
8,India plans steps to counter rising copper supply risks,2025-06-25,"India has held internal talks about its growing vulnerability to the tightening global copper market and plans to discuss ways to lock in supply from resource-rich countries during ongoing trade negotiations, according to two government sources and a draft government policy document.New Delhi is also considering measures to help boost domestic refined copper output, including through foreign investment, the sources and the document said.India meets over 90% of its copper concentrate needs through imports, and its dependency is expected to rise to 97% by 2047, said the document reviewed byReuters. It produces an estimated 573,000 metric tons of refined copper annually against demand of around 1.8 million tons, relying on imports to bridge the gap.Copper price: Chinese smelters ramp up exports, potentially squeezing home market tooIndia could approach global majors such as Chile’s state-owned miner Codelco, the world’s largest copper producer, and Australian miner BHP to set up domestic copper smelters and refineries, said the sources and the document.Codelco declined to comment, while BHP and the federal Ministry of Mines did not respond toReuters‘ emails seeking comments.Indian state firms could invest in overseas mining projects run by Codelco and BHP in exchange for participating in the development of copper infrastructure in India, said the sources, who asked not to be named because the plans were not public.India’s copper imports have jumped since the 2018 closure ofVedanta’s Sterlite copper smelter. The country imported 1.2 million metric tons of copper in the fiscal year to March 2025, up 4% from a year earlier.‘Resource nationalism’Explaining the strategies likely to be adopted in bilateral trade pacts, the document stated that India is seeking to include a detailed “copper chapter” in its ongoing free trade negotiations with Chile and Peru aimed at securing copper concentrate supplies.While tightening copper supplies from key exporters such as Indonesia have limited India’s sourcing options, Chile and Peru already have long-term commitments with major global buyers like China, further narrowing India’s import choices, it said.Column: Copper smelters are facing both market and pricing crisesThe government also wants the state-run Khanij Bidesh India Ltd to secure supplies of strategic minerals from overseas and explore copper assets in Chile, Peru, Australia, Mongolia, and other countries, the document said.India could also become more vulnerable to supply chain disruptions as leading suppliers of mineral resources resort to “resource nationalism”, it said.China placed export restrictions on rare earth elements in April, squeezing supply of minerals used in weapons, electronics and a range of consumer goods.This trend underscores “an urgency for foreign asset acquisition”, the document said.(By Neha Arora; Editing by Mayank Bhardwaj and Jan Harvey)",India has held internal talks about its growing vulnerability to the tightening global copper market. It plans to discuss ways to lock in supply from resource-rich countries during ongoing trade negotiations. New Delhi is also considering measures to help boost domestic refined copper output.
9,India restricts import of gold infused metals,2025-06-19,"India has imposed curbs on imports of palladium, rhodium and iridium alloys containing more than 1% gold by weight, the government said on Thursday.The government also restricted imports of colloidal metals and certain chemical compounds to prevent gold from entering the country disguised as chemical imports, it said in a statement.(By Nikunj Ohri and Bipasha Dey; Editing by Louise Heavens)","India has imposed curbs on imports of palladium, rhodium and iridium alloys containing more than 1% gold by weight. The government also restricted imports of colloidal metals and certain chemical compounds."
10,India’s new copper plant finally starts amid ore shortage,2025-06-18,"A new copper smelter owned by Indian billionaire Gautam Adani started processing mined ores this week after multiple delays due to a lack of feedstock, according to people familiar with the matter.The 500,000-ton-a-year Kutch Copper plant in Gujarat is part of a copper-producing complex that Adani is building to cut India’s reliance on imported metal. The smelter wasscheduled to start in 2024, but faced delays as smelter expansions elsewhere fueled a global shortage of ores.Raw materials are now being fed into the plant, but it could take 18 months for it to fully ramp up, said the people, who asked not to be identified due to the commercially sensitive nature of the matter. A typical ramp-up period is about two to three months.For the smelter to operate at full scale, it would require about 1.6 million tons of concentrated copper ores, some of the people said. Industry consultancy CRU Group has estimated that the gap between the volume of concentrates sought by smelters and those actually supplied by miners will reach 1.2 million tons this year, the biggest deficit in at least a decade.Kutch Copper has operationalized the smelter and is in the process of ramping up production to achieve peak capacity as soon as possible, a spokesperson for Adani Enterprises Ltd said in an emailed statement.Procuring concentrates has been a challenge for smelters globally, with growing competition from new plants fueling a collapse in processing margins.Codelco strikes copper deal with Adani amid tariff threatThe surge in capacity is being driven partly by the commissioning of new integrated plants at mining operations in Indonesia and the Democratic Republic of Congo. That’s reducing the flow of concentrates that would have otherwise been sold to other smelters.But the biggest contributor has been the breakneck growth of standalone smelters that buy most or all of their raw materials on the open market. That includes the new Adani plant, as well as several major operations in China, such as a new 500,000-ton-a-year copper smelter commissioned by Tongling Nonferrous Metals Group Co. earlier this year.(By Julian Luk and Archie Hunter)","A new copper smelter owned by Indian billionaire Gautam Adani started processing mined ores this week. The 500,000-ton-a-year Kutch Copper plant in Gujarat is part of a copper-producing complex that Adani is building to cut India’"
11,"India, China tackle rare earth curbs in meeting of top officials",2025-06-13,"Infographic: Who controls the rare earths shaping the future?Indian officials discussed China’s rare earth restrictions during talks with that country’s vice foreign minister this week, people familiar with the matter said, as automakers continue to warn of a looming shortage that may disrupt output in the South Asian nation.The issue was raised during a meeting on Thursday between Foreign Secretary Vikram Misri and China’s Vice Foreign Minister Sun Weidong in New Delhi, the people said, asking not to be identified because the discussions were private. The two sides agreed to hold further talks about critical mineral supplies and broader economic and trade issues, they said.China’s export curbs on rare earth magnets — used in everything from smartphones to electric vehicles — are causing delays in shipments of auto parts to India,worrying carmakers about major disruptionsto production. There are some signs that Indian automakers may be facing tougher conditions than their counterparts in other countries in securing the supplies from China, with Beijing rejecting some applications for India-bound shipments.Foreign Secretary Vikram Misri with Chinese Vice Foreign Minister Sun Weidong. Credit: Ministry of Foreign Affairs
People’s Republic of ChinaIn a readout of the meeting between Misri and Sun, India’s Ministry of External Affairs didn’t specifically refer to the discussion about rare earths, although it hinted at ongoing talks.“The two sides agreed to hold certain functional dialog including in the economic and trade areas to discuss and resolve specific issues of concern,” the ministry said on Friday, without providing details of any future meetings.China’s Ministry of Foreign Affairs said in a statement that Sun and Misri “held a candid and in-depth exchange of views on bilateral exchanges and cooperation as well as international and regional issues of mutual interest.”Indian carmakers have been lobbying the government to push China to ease restrictions on rare earth magnets. They’re also planning to visit Beijing this month to make their case to officials and suppliers there, people familiar with the matter said. A proposed delegation of about 20 members from auto and component firms is awaiting support from the Chinese embassy to secure appointments in Beijing, they said.The fact that India has now raised the rare earth issue with China in a diplomatic forum signals to automakers that a resolution may be in sight. Recent trade talks between the US and China have also increased optimism that restrictions may be eased.Column: China-US trade deal kicks the rare earths can down the roadThe two-day visit by Sun follows Misri’s trip to Beijing in January, and comes as both countries take steps to rebuild ties following the end of a four-year border stalemate. President Xi Jinping and Prime Minister Narendra Modi pledged in October last year to stabilize relations. Global uncertainty triggered by US President Donald Trump’s upheaval of trade have also added to the urgency for the Asian neighbors to normalize ties.After the deadly border clashes in 2020, India increased legal scrutiny to discourage Chinese investments, banned thousands of mobile phone applications and curbed visas.The two sides agreed during the talks this week to speed up the process to restart direct flights and take “practical” steps to facilitate visas, the MEA said in its statement Friday.Officials “agreed to continue to stabilize and rebuild ties with priority on people-centric engagements,” the MEA said.(By Sudhi Ranjan Sen and Alisha Sachdev)",China’s export curbs on rare earth magnets are causing delays in shipments of auto parts to India. Indian carmakers have been lobbying the government to push China to ease restrictions. Recent trade talks between the US and China have also increased optimism that restrictions may be eased.
